prediction,actual
2.1547619047619047,5.0
3.732142857142857,4.375
3.613095238095238,4.375
3.869047619047619,1.875
3.232142857142857,1.25
4.089285714285714,4.375
3.9166666666666665,3.75
3.9523809523809526,4.375
3.8154761904761907,3.75
3.6547619047619047,5.0
3.880952380952381,4.375
3.5535714285714284,3.75
3.2083333333333335,3.125
3.738095238095238,4.375
4.0773809523809526,4.375
3.7142857142857144,3.75
3.6904761904761907,0.0
3.392857142857143,4.375
4.196428571428571,5.0
4.005952380952381,4.375
3.482142857142857,3.125
4.113095238095238,4.375
4.029761904761905,3.75
3.1547619047619047,3.75
3.7023809523809526,3.75
3.5714285714285716,3.75
3.636904761904762,3.75
3.9642857142857144,4.375
1.6130952380952381,3.125
3.732142857142857,4.375
3.8452380952380953,3.75
3.4761904761904763,3.75
3.25,4.375
3.9702380952380953,3.75
4.0,3.75
3.9226190476190474,4.375
4.196428571428571,4.375
3.9345238095238093,4.375
4.0476190476190474,5.0
3.8154761904761907,3.125
3.9285714285714284,5.0
3.9285714285714284,2.5
4.232142857142857,4.375
4.005952380952381,4.375
3.8214285714285716,5.0
3.886904761904762,5.0
3.8154761904761907,5.0
3.5476190476190474,4.375
4.226190476190476,3.75
3.7857142857142856,4.375
3.3035714285714284,4.375
3.6488095238095237,3.75
3.9464285714285716,4.375
3.7976190476190474,3.75
3.875,4.375
3.982142857142857,4.375
3.7738095238095237,3.125
3.9166666666666665,5.0
3.857142857142857,4.375
3.392857142857143,4.375
3.988095238095238,3.75
2.886904761904762,5.0
4.148809523809524,5.0
3.5297619047619047,0.0
3.9583333333333335,4.375
4.029761904761905,3.75
4.071428571428571,4.375
3.9345238095238093,4.375
3.75,3.75
3.869047619047619,5.0
3.6726190476190474,4.375
4.011904761904762,3.125
3.5833333333333335,4.375
3.3035714285714284,3.75
4.053571428571429,0.0
3.875,0.0
3.738095238095238,3.75
2.511904761904762,3.75
3.886904761904762,4.375
3.9702380952380953,5.0
3.7261904761904763,5.0
4.071428571428571,0.0
4.101190476190476,3.125
3.8452380952380953,4.375
3.875,4.375
4.053571428571429,4.375
4.035714285714286,3.75
4.0476190476190474,4.375
3.8214285714285716,0.0
3.857142857142857,4.375
3.982142857142857,3.75
3.5476190476190474,3.125
3.6785714285714284,4.375
3.994047619047619,2.5
2.7083333333333335,3.75
3.9702380952380953,4.375
4.0,4.375
3.7261904761904763,0.0
3.7976190476190474,4.375
3.7976190476190474,3.75
3.9166666666666665,3.75
3.7857142857142856,4.375
2.892857142857143,5.0
3.9226190476190474,3.125
3.0892857142857144,4.375
4.017857142857143,4.375
3.863095238095238,2.5
3.8452380952380953,3.75
4.059523809523809,4.375
3.1845238095238093,3.125
3.9464285714285716,3.75
3.6011904761904763,4.375
3.6785714285714284,3.75
3.8035714285714284,4.375
3.6488095238095237,4.375
3.9702380952380953,4.375
4.041666666666667,4.375
3.738095238095238,3.75
3.9345238095238093,4.375
3.982142857142857,4.375
4.017857142857143,3.75
3.6845238095238093,5.0
2.2261904761904763,0.0
3.6964285714285716,0.0
4.029761904761905,3.125
3.517857142857143,3.75
3.9464285714285716,3.75
3.9464285714285716,4.375
3.9404761904761907,4.375
3.886904761904762,5.0
3.642857142857143,4.375
3.9166666666666665,4.375
3.0952380952380953,4.375
3.9761904761904763,4.375
3.7738095238095237,3.125
3.482142857142857,3.75
3.9523809523809526,4.375
3.7976190476190474,4.375
3.9702380952380953,4.375
3.8452380952380953,3.75
3.886904761904762,3.75
3.6726190476190474,4.375
3.9642857142857144,5.0
3.5476190476190474,5.0
3.625,4.375
3.9761904761904763,5.0
3.9583333333333335,4.375
4.214285714285714,3.75
3.619047619047619,4.375
3.9047619047619047,3.75
3.9761904761904763,5.0
3.732142857142857,3.75
3.8035714285714284,3.125
3.3988095238095237,0.0
3.4285714285714284,3.75
3.9345238095238093,4.375
3.880952380952381,3.75
3.875,4.375
3.7142857142857144,0.0
4.095238095238095,3.75
3.9285714285714284,3.75
4.101190476190476,4.375
3.8273809523809526,4.375
3.8511904761904763,4.375
3.619047619047619,4.375
2.7261904761904763,3.75
3.6845238095238093,4.375
3.886904761904762,4.375
3.7797619047619047,4.375
3.767857142857143,0.0
4.095238095238095,4.375
3.8392857142857144,5.0
3.761904761904762,4.375
3.767857142857143,5.0
3.875,4.375
3.755952380952381,5.0
2.386904761904762,0.0
3.7202380952380953,4.375
3.8095238095238093,3.75
3.5714285714285716,3.75
3.744047619047619,4.375
4.142857142857143,3.75
3.386904761904762,4.375
3.7023809523809526,3.75
3.625,3.125
3.0654761904761907,3.75
3.9107142857142856,5.0
4.1726190476190474,3.75
3.75,3.75
3.9702380952380953,4.375
3.7023809523809526,4.375
3.863095238095238,4.375
3.9047619047619047,4.375
3.2261904761904763,0.0
3.9523809523809526,0.0
3.8035714285714284,3.125
3.8452380952380953,4.375
3.5535714285714284,5.0
3.8452380952380953,4.375
3.8452380952380953,3.125
4.125,3.75
1.7142857142857142,0.0
3.619047619047619,3.75
3.892857142857143,5.0
3.761904761904762,5.0
3.4404761904761907,4.375
4.071428571428571,4.375
3.7857142857142856,3.75
3.8214285714285716,5.0
2.8511904761904763,5.0
3.9047619047619047,2.5
3.9285714285714284,3.75
3.9464285714285716,4.375
3.9523809523809526,4.375
4.113095238095238,1.25
3.9345238095238093,3.125
3.7261904761904763,2.5
3.511904761904762,3.75
3.4464285714285716,4.375
3.7738095238095237,4.375
3.744047619047619,4.375
3.988095238095238,4.375
3.875,3.75
3.863095238095238,3.75
3.6726190476190474,4.375
3.738095238095238,2.5
3.6904761904761907,3.75
3.6964285714285716,3.75
3.886904761904762,4.375
2.8273809523809526,3.75
3.9702380952380953,4.375
3.4761904761904763,3.75
1.6130952380952381,0.0
3.6488095238095237,4.375
3.5535714285714284,0.0
3.7261904761904763,3.75
3.9583333333333335,4.375
3.7142857142857144,4.375
4.011904761904762,3.75
3.880952380952381,3.125
4.136904761904762,4.375
3.880952380952381,1.875
3.863095238095238,4.375
3.892857142857143,4.375
3.761904761904762,4.375
3.5595238095238093,4.375
3.857142857142857,3.75
3.7261904761904763,3.75
3.7023809523809526,3.75
3.9404761904761907,2.5
3.6666666666666665,5.0
3.9523809523809526,3.75
3.8333333333333335,4.375
3.357142857142857,5.0
3.880952380952381,3.75
4.119047619047619,3.75
2.7976190476190474,3.75
3.9583333333333335,4.375
3.738095238095238,3.75
3.892857142857143,4.375
3.8988095238095237,4.375
2.738095238095238,0.0
3.7083333333333335,3.75
3.7916666666666665,4.375
2.0654761904761907,0.0
3.744047619047619,4.375
4.017857142857143,3.75
3.5952380952380953,1.25
4.011904761904762,4.375
4.178571428571429,4.375
4.023809523809524,3.75
3.7023809523809526,0.0
4.005952380952381,4.375
3.5535714285714284,4.375
3.4523809523809526,3.75
3.9642857142857144,4.375
3.892857142857143,4.375
3.8035714285714284,4.375
4.023809523809524,4.375
4.136904761904762,3.75
3.8452380952380953,0.0
3.761904761904762,4.375
4.059523809523809,0.0
3.7738095238095237,3.75
2.869047619047619,2.5
3.5238095238095237,3.125
4.005952380952381,4.375
3.238095238095238,0.0
3.6785714285714284,0.0
3.4702380952380953,5.0
3.75,4.375
4.196428571428571,4.375
3.636904761904762,3.75
3.9761904761904763,5.0
3.869047619047619,3.75
3.7261904761904763,4.375
3.892857142857143,0.0
3.9285714285714284,5.0
3.8273809523809526,5.0
3.1785714285714284,5.0
3.375,5.0
4.0,4.375
3.386904761904762,5.0
2.5833333333333335,0.0
4.065476190476191,5.0
3.0297619047619047,3.75
3.863095238095238,3.75
3.386904761904762,4.375
1.625,5.0
3.9285714285714284,5.0
3.2738095238095237,5.0
3.863095238095238,0.0
3.5773809523809526,3.75
2.863095238095238,0.0
3.9285714285714284,5.0
3.8154761904761907,1.875
3.5773809523809526,3.75
3.8392857142857144,4.375
3.244047619047619,3.125
3.0535714285714284,4.375
3.8511904761904763,4.375
4.226190476190476,4.375
3.9583333333333335,4.375
3.9404761904761907,4.375
3.2083333333333335,3.125
3.6726190476190474,4.375
3.982142857142857,3.75
4.005952380952381,4.375
3.8273809523809526,4.375
3.8333333333333335,3.125
3.7976190476190474,3.75
3.511904761904762,3.75
4.005952380952381,3.75
3.7857142857142856,3.75
3.3452380952380953,5.0
3.9107142857142856,4.375
3.869047619047619,3.125
3.6964285714285716,3.75
3.5833333333333335,5.0
3.6845238095238093,4.375
2.1726190476190474,5.0
3.5,4.375
3.744047619047619,4.375
3.9226190476190474,3.75
2.1726190476190474,0.0
4.005952380952381,4.375
3.886904761904762,3.125
3.869047619047619,4.375
3.9583333333333335,3.75
3.5535714285714284,3.75
3.5952380952380953,3.75
3.630952380952381,3.75
3.9107142857142856,3.75
3.988095238095238,4.375
2.2142857142857144,3.125
3.8333333333333335,4.375
3.7142857142857144,4.375
3.636904761904762,5.0
3.5535714285714284,0.0
3.886904761904762,4.375
3.75,3.75
3.494047619047619,4.375
3.857142857142857,0.0
3.642857142857143,4.375
3.5297619047619047,3.75
3.482142857142857,3.75
3.6607142857142856,4.375
3.369047619047619,1.25
3.9047619047619047,3.125
4.029761904761905,4.375
3.1547619047619047,0.0
3.9226190476190474,4.375
3.2202380952380953,0.0
4.053571428571429,4.375
3.6785714285714284,3.125
4.035714285714286,4.375
3.5357142857142856,3.125
3.6904761904761907,4.375
3.3392857142857144,3.75
3.5476190476190474,5.0
3.517857142857143,4.375
3.0595238095238093,3.75
4.053571428571429,4.375
3.8214285714285716,4.375
3.8333333333333335,3.75
3.857142857142857,4.375
3.5535714285714284,3.75
3.625,3.75
3.8452380952380953,3.75
4.041666666666667,3.75
3.9642857142857144,3.125
3.9047619047619047,3.75
3.5892857142857144,0.0
4.023809523809524,3.125
3.6904761904761907,5.0
4.059523809523809,5.0
3.5595238095238093,4.375
3.5892857142857144,3.75
3.6904761904761907,5.0
3.880952380952381,3.75
3.7857142857142856,3.125
3.6904761904761907,4.375
3.7738095238095237,1.875
3.8452380952380953,3.75
3.5952380952380953,3.125
3.619047619047619,4.375
3.511904761904762,3.75
3.9642857142857144,3.75
3.4523809523809526,4.375
3.7738095238095237,4.375
4.023809523809524,3.75
3.5476190476190474,0.0
3.9345238095238093,3.75
4.107142857142857,5.0
4.113095238095238,4.375
2.3273809523809526,0.0
3.613095238095238,3.125
3.7023809523809526,5.0
3.7083333333333335,3.125
4.0773809523809526,4.375
3.8095238095238093,3.75
3.7261904761904763,4.375
4.017857142857143,4.375
3.4523809523809526,4.375
3.380952380952381,4.375
4.0476190476190474,4.375
3.8214285714285716,5.0
3.5238095238095237,3.125
3.630952380952381,0.0
3.6726190476190474,4.375
4.095238095238095,4.375
3.767857142857143,3.75
3.863095238095238,4.375
4.035714285714286,4.375
2.107142857142857,4.375
3.3154761904761907,4.375
3.642857142857143,4.375
3.8273809523809526,3.75
3.857142857142857,4.375
3.0357142857142856,3.75
3.988095238095238,5.0
3.8392857142857144,4.375
3.3392857142857144,0.0
3.7976190476190474,3.75
3.613095238095238,5.0
2.988095238095238,0.0
3.9583333333333335,0.0
3.9404761904761907,4.375
3.1845238095238093,4.375
3.4226190476190474,4.375
3.994047619047619,4.375
3.744047619047619,3.75
3.625,5.0
3.0714285714285716,0.0
2.9285714285714284,5.0
3.9523809523809526,4.375
3.886904761904762,4.375
2.7738095238095237,0.0
3.375,4.375
3.892857142857143,3.75
3.9166666666666665,0.0
3.9047619047619047,0.0
3.892857142857143,2.5
3.8392857142857144,4.375
2.988095238095238,4.375
4.0773809523809526,3.125
3.8095238095238093,4.375
3.511904761904762,2.5
3.4166666666666665,4.375
3.8452380952380953,4.375
4.059523809523809,3.75
3.9107142857142856,5.0
1.9642857142857142,5.0
3.7916666666666665,3.75
3.511904761904762,5.0
3.6904761904761907,4.375
3.7857142857142856,5.0
3.4047619047619047,3.125
3.886904761904762,3.75
3.488095238095238,4.375
3.738095238095238,0.0
3.9583333333333335,4.375
3.4464285714285716,3.75
4.029761904761905,4.375
4.101190476190476,5.0
3.9464285714285716,4.375
3.761904761904762,4.375
3.5773809523809526,3.75
3.9404761904761907,3.75
4.0,3.75
3.8035714285714284,3.75
3.6904761904761907,0.0
3.375,5.0
3.5595238095238093,5.0
3.4583333333333335,4.375
3.857142857142857,1.875
3.6785714285714284,3.75
3.7797619047619047,4.375
3.9523809523809526,5.0
3.7142857142857144,4.375
3.8511904761904763,4.375
4.160714285714286,3.125
3.8035714285714284,3.75
3.357142857142857,3.75
3.5833333333333335,3.75
3.5773809523809526,4.375
3.7083333333333335,3.75
3.892857142857143,4.375
3.3095238095238093,4.375
2.9166666666666665,3.125
3.8214285714285716,3.75
3.8154761904761907,3.125
1.6011904761904763,0.0
3.6845238095238093,5.0
4.029761904761905,5.0
3.9345238095238093,4.375
3.5773809523809526,3.75
3.7083333333333335,3.75
3.863095238095238,4.375
3.9107142857142856,3.125
3.255952380952381,4.375
3.9761904761904763,0.0
4.0773809523809526,4.375
3.5535714285714284,4.375
4.029761904761905,4.375
3.380952380952381,5.0
3.511904761904762,4.375
3.8154761904761907,3.125
3.8988095238095237,4.375
4.119047619047619,4.375
3.2142857142857144,2.5
4.041666666666667,5.0
3.5297619047619047,3.75
4.065476190476191,0.0
3.880952380952381,4.375
3.9702380952380953,3.75
3.2202380952380953,5.0
2.136904761904762,0.0
2.630952380952381,0.0
3.8452380952380953,4.375
4.0,3.125
3.9404761904761907,3.75
4.089285714285714,3.75
3.9583333333333335,4.375
3.0892857142857144,5.0
3.869047619047619,2.5
4.0773809523809526,4.375
4.148809523809524,4.375
4.113095238095238,4.375
3.892857142857143,2.5
3.3392857142857144,3.125
3.875,3.125
2.7857142857142856,0.0
4.065476190476191,4.375
4.142857142857143,4.375
3.9226190476190474,4.375
3.6547619047619047,4.375
3.9285714285714284,4.375
3.9285714285714284,4.375
4.232142857142857,4.375
4.0476190476190474,3.125
3.8154761904761907,4.375
3.5952380952380953,5.0
3.8095238095238093,5.0
3.732142857142857,4.375
3.9107142857142856,4.375
3.613095238095238,5.0
4.0476190476190474,5.0
3.8988095238095237,2.5
3.4464285714285716,3.125
4.244047619047619,5.0
2.1726190476190474,0.0
3.9166666666666665,4.375
1.6607142857142858,0.0
3.9523809523809526,5.0
3.875,3.75
3.6904761904761907,5.0
3.8154761904761907,4.375
4.041666666666667,3.75
3.7261904761904763,3.75
3.1488095238095237,5.0
3.4702380952380953,4.375
4.154761904761905,5.0
3.1547619047619047,3.75
3.9702380952380953,4.375
3.8511904761904763,4.375
3.3273809523809526,5.0
3.636904761904762,4.375
3.2142857142857144,1.25
3.4702380952380953,3.125
3.8988095238095237,4.375
3.9285714285714284,4.375
3.6964285714285716,3.125
3.9702380952380953,3.75
4.017857142857143,3.75
3.744047619047619,4.375
3.4285714285714284,4.375
3.8988095238095237,3.75
1.9821428571428572,0.0
4.107142857142857,4.375
3.9642857142857144,5.0
4.065476190476191,4.375
3.9761904761904763,3.75
3.892857142857143,4.375
3.9583333333333335,2.5
4.2023809523809526,4.375
3.9642857142857144,5.0
2.0535714285714284,0.0
3.1785714285714284,4.375
3.9285714285714284,3.125
4.011904761904762,3.75
4.029761904761905,5.0
3.755952380952381,4.375
2.7023809523809526,3.75
4.0476190476190474,5.0
4.071428571428571,3.75
3.619047619047619,3.75
3.9345238095238093,4.375
4.089285714285714,4.375
3.8095238095238093,5.0
4.136904761904762,0.0
3.9166666666666665,4.375
3.6845238095238093,0.0
3.9166666666666665,4.375
4.071428571428571,3.75
4.005952380952381,2.5
3.255952380952381,4.375
3.517857142857143,3.75
3.9761904761904763,3.75
4.101190476190476,4.375
4.065476190476191,4.375
4.035714285714286,4.375
4.107142857142857,3.75
4.059523809523809,3.75
3.767857142857143,5.0
3.7738095238095237,4.375
3.8154761904761907,5.0
3.6607142857142856,2.5
3.4702380952380953,3.75
3.5297619047619047,4.375
2.761904761904762,0.0
3.4464285714285716,3.75
3.1785714285714284,4.375
3.7797619047619047,4.375
3.744047619047619,3.125
3.875,5.0
3.9464285714285716,4.375
4.005952380952381,3.75
3.9761904761904763,3.75
3.863095238095238,4.375
3.5297619047619047,0.0
3.9583333333333335,3.125
3.875,4.375
2.238095238095238,0.0
3.6964285714285716,2.5
1.8392857142857142,0.0
3.9583333333333335,4.375
2.863095238095238,4.375
3.75,0.0
3.7023809523809526,4.375
3.6726190476190474,3.125
3.4226190476190474,4.375
3.392857142857143,4.375
3.9583333333333335,3.75
3.8035714285714284,3.75
3.9226190476190474,5.0
3.869047619047619,0.0
4.041666666666667,3.75
3.9107142857142856,3.75
2.3035714285714284,4.375
2.9345238095238093,5.0
3.982142857142857,5.0
3.8333333333333335,3.75
4.089285714285714,4.375
3.732142857142857,4.375
3.5654761904761907,4.375
3.9583333333333335,4.375
3.8511904761904763,3.125
4.035714285714286,5.0
3.7083333333333335,3.75
3.744047619047619,4.375
2.005952380952381,0.0
3.8511904761904763,0.0
3.0416666666666665,0.0
3.7916666666666665,3.75
4.035714285714286,4.375
3.9345238095238093,4.375
3.880952380952381,4.375
3.8035714285714284,5.0
3.505952380952381,4.375
4.023809523809524,3.75
3.0297619047619047,5.0
3.892857142857143,5.0
3.7083333333333335,4.375
3.7797619047619047,5.0
3.255952380952381,4.375
3.9166666666666665,5.0
4.041666666666667,4.375
4.125,5.0
3.9166666666666665,4.375
4.136904761904762,4.375
3.613095238095238,3.75
3.244047619047619,3.75
3.5892857142857144,0.0
4.005952380952381,4.375
4.196428571428571,3.75
3.505952380952381,3.125
3.8273809523809526,4.375
3.863095238095238,4.375
3.869047619047619,5.0
3.863095238095238,4.375
3.5535714285714284,4.375
4.017857142857143,3.75
3.9642857142857144,5.0
4.107142857142857,4.375
3.767857142857143,4.375
4.041666666666667,3.75
4.154761904761905,4.375
4.184523809523809,2.5
3.9345238095238093,4.375
4.119047619047619,3.75
3.9107142857142856,3.75
4.113095238095238,3.75
3.9166666666666665,3.75
3.369047619047619,3.75
3.9642857142857144,3.75
3.892857142857143,4.375
3.9761904761904763,4.375
3.5535714285714284,3.75
4.059523809523809,3.75
3.8095238095238093,1.25
3.9285714285714284,3.75
4.053571428571429,4.375
4.083333333333333,3.125
3.619047619047619,5.0
3.7083333333333335,5.0
4.130952380952381,4.375
3.886904761904762,3.125
3.9226190476190474,3.125
3.3035714285714284,0.0
2.8511904761904763,4.375
3.9583333333333335,3.75
3.505952380952381,0.0
3.5416666666666665,3.75
3.380952380952381,3.75
4.101190476190476,4.375
4.011904761904762,0.0
3.5,3.75
3.9404761904761907,5.0
3.5595238095238093,4.375
3.8333333333333335,5.0
3.505952380952381,4.375
3.1011904761904763,0.0
3.8452380952380953,3.75
2.363095238095238,5.0
3.392857142857143,2.5
3.8095238095238093,5.0
4.011904761904762,5.0
3.875,4.375
3.738095238095238,0.0
2.988095238095238,4.375
3.9761904761904763,4.375
3.4285714285714284,4.375
4.065476190476191,3.75
4.2023809523809526,5.0
3.6845238095238093,4.375
3.8095238095238093,3.75
3.517857142857143,3.125
3.7261904761904763,4.375
3.0773809523809526,3.75
2.982142857142857,3.125
4.136904761904762,4.375
3.5416666666666665,4.375
4.071428571428571,4.375
4.113095238095238,4.375
3.8035714285714284,4.375
3.875,3.75
3.9761904761904763,3.75
3.5535714285714284,4.375
3.636904761904762,3.125
4.255952380952381,4.375
3.738095238095238,3.75
3.744047619047619,5.0
3.642857142857143,0.0
3.6607142857142856,5.0
3.636904761904762,4.375
4.184523809523809,4.375
3.755952380952381,4.375
3.482142857142857,0.0
3.4226190476190474,4.375
3.7261904761904763,4.375
2.761904761904762,4.375
4.0476190476190474,4.375
3.755952380952381,4.375
3.9464285714285716,4.375
3.7797619047619047,3.75
4.0476190476190474,5.0
3.7202380952380953,5.0
4.0773809523809526,3.75
3.0773809523809526,3.75
3.0476190476190474,0.0
4.011904761904762,4.375
4.2023809523809526,4.375
3.613095238095238,3.75
3.9642857142857144,3.75
3.232142857142857,0.0
3.892857142857143,4.375
4.059523809523809,4.375
3.625,4.375
3.9285714285714284,4.375
3.613095238095238,3.75
3.619047619047619,3.125
3.875,4.375
3.3333333333333335,3.75
3.630952380952381,4.375
4.107142857142857,3.75
2.6607142857142856,3.125
3.9404761904761907,4.375
3.9523809523809526,3.75
3.9166666666666665,4.375
3.9107142857142856,4.375
3.9166666666666665,3.125
3.392857142857143,4.375
2.875,3.75
3.744047619047619,4.375
3.7857142857142856,1.25
4.178571428571429,4.375
3.9166666666666665,4.375
3.892857142857143,4.375
3.5952380952380953,3.75
3.630952380952381,3.125
3.5595238095238093,4.375
3.232142857142857,4.375
3.880952380952381,3.75
3.9583333333333335,3.75
3.857142857142857,3.125
3.7916666666666665,4.375
3.2797619047619047,4.375
4.130952380952381,4.375
3.9166666666666665,4.375
3.244047619047619,5.0
3.4523809523809526,5.0
3.369047619047619,3.75
3.7738095238095237,4.375
3.1666666666666665,0.0
3.9642857142857144,4.375
3.767857142857143,3.75
3.5297619047619047,4.375
3.8988095238095237,5.0
3.4166666666666665,3.75
3.755952380952381,1.875
3.9107142857142856,4.375
3.244047619047619,4.375
3.7797619047619047,5.0
3.857142857142857,3.75
3.75,4.375
4.005952380952381,2.5
3.9226190476190474,4.375
3.5416666666666665,4.375
4.029761904761905,5.0
3.869047619047619,4.375
3.3988095238095237,5.0
4.017857142857143,4.375
3.869047619047619,3.75
3.755952380952381,4.375
3.3095238095238093,4.375
3.5714285714285716,4.375
3.7738095238095237,3.75
3.982142857142857,3.75
3.9464285714285716,4.375
3.988095238095238,3.75
4.005952380952381,4.375
3.4285714285714284,3.75
3.9345238095238093,4.375
3.613095238095238,3.75
3.6011904761904763,5.0
4.0,4.375
3.6666666666666665,3.75
3.2916666666666665,3.125
3.8988095238095237,3.75
4.196428571428571,3.75
3.5892857142857144,3.75
3.3214285714285716,0.0
3.982142857142857,3.75
3.8511904761904763,4.375
4.142857142857143,3.75
3.875,4.375
3.619047619047619,4.375
3.9345238095238093,3.75
3.8273809523809526,5.0
3.482142857142857,5.0
3.8988095238095237,4.375
2.892857142857143,5.0
3.5714285714285716,4.375
4.017857142857143,5.0
3.9642857142857144,3.75
3.4345238095238093,4.375
3.494047619047619,4.375
3.488095238095238,0.0
3.9761904761904763,5.0
3.8214285714285716,3.125
4.017857142857143,5.0
3.5892857142857144,4.375
3.369047619047619,5.0
3.9166666666666665,4.375
3.9464285714285716,0.0
4.065476190476191,3.75
3.9107142857142856,0.0
3.6904761904761907,4.375
3.7976190476190474,4.375
2.8214285714285716,1.25
4.053571428571429,2.5
3.886904761904762,4.375
3.7083333333333335,4.375
3.5833333333333335,2.5
3.875,4.375
4.089285714285714,3.125
4.005952380952381,2.5
3.8333333333333335,4.375
3.9464285714285716,4.375
3.136904761904762,0.0
4.107142857142857,3.75
3.9702380952380953,2.5
3.869047619047619,4.375
3.7797619047619047,5.0
3.8214285714285716,2.5
4.113095238095238,4.375
4.160714285714286,4.375
3.5416666666666665,4.375
3.5297619047619047,3.75
3.5416666666666665,3.75
3.9702380952380953,4.375
3.9166666666666665,3.75
3.880952380952381,4.375
3.4047619047619047,3.75
2.7738095238095237,3.125
4.041666666666667,4.375
3.642857142857143,3.75
4.0,0.0
3.8154761904761907,0.0
3.7142857142857144,3.75
4.160714285714286,3.75
3.875,4.375
4.035714285714286,3.125
3.8154761904761907,5.0
4.0476190476190474,4.375
4.005952380952381,0.0
4.136904761904762,3.75
3.863095238095238,4.375
3.9583333333333335,3.125
3.869047619047619,5.0
2.9642857142857144,4.375
3.9702380952380953,5.0
3.8392857142857144,0.0
3.880952380952381,4.375
3.755952380952381,3.75
3.8392857142857144,2.5
3.6726190476190474,3.75
4.0476190476190474,5.0
3.7142857142857144,5.0
3.607142857142857,4.375
3.5,2.5
3.5833333333333335,0.0
3.9226190476190474,4.375
3.8333333333333335,0.0
3.6011904761904763,0.0
4.0773809523809526,3.75
3.5833333333333335,4.375
3.625,4.375
3.9404761904761907,3.125
3.9583333333333335,0.0
3.892857142857143,3.75
3.7738095238095237,3.125
3.994047619047619,4.375
3.6011904761904763,4.375
4.273809523809524,3.75
4.113095238095238,3.75
3.5952380952380953,4.375
2.3392857142857144,0.0
1.75,5.0
3.7857142857142856,5.0
3.4761904761904763,4.375
3.755952380952381,4.375
3.8035714285714284,4.375
3.607142857142857,4.375
3.4107142857142856,3.75
3.4107142857142856,4.375
4.119047619047619,3.125
2.5833333333333335,2.5
3.8214285714285716,4.375
3.880952380952381,3.75
3.880952380952381,5.0
3.5773809523809526,5.0
4.053571428571429,3.75
4.035714285714286,4.375
3.7023809523809526,3.75
3.767857142857143,4.375
4.095238095238095,4.375
3.6964285714285716,3.75
3.994047619047619,4.375
4.005952380952381,4.375
2.1845238095238093,2.5
3.8452380952380953,4.375
3.642857142857143,3.75
3.363095238095238,2.5
4.059523809523809,4.375
3.7261904761904763,3.75
3.9285714285714284,4.375
4.011904761904762,4.375
3.4583333333333335,3.125
4.041666666666667,4.375
3.9583333333333335,3.75
4.136904761904762,4.375
3.994047619047619,4.375
3.517857142857143,4.375
3.6547619047619047,3.75
4.083333333333333,4.375
3.5833333333333335,4.375
3.619047619047619,5.0
4.119047619047619,4.375
4.113095238095238,4.375
3.9583333333333335,4.375
3.886904761904762,2.5
4.184523809523809,4.375
3.4583333333333335,2.5
4.059523809523809,4.375
3.7083333333333335,3.125
4.154761904761905,5.0
3.7023809523809526,4.375
4.071428571428571,3.75
3.880952380952381,4.375
3.9345238095238093,3.75
2.9166666666666665,3.75
3.744047619047619,4.375
3.982142857142857,4.375
3.392857142857143,4.375
3.869047619047619,1.25
3.869047619047619,4.375
3.9523809523809526,4.375
3.7023809523809526,3.75
2.9702380952380953,3.125
3.9523809523809526,4.375
3.5,4.375
3.6488095238095237,3.75
3.9047619047619047,3.75
2.875,3.75
3.5357142857142856,3.75
2.9345238095238093,3.75
3.857142857142857,0.0
3.8988095238095237,3.125
4.017857142857143,4.375
4.035714285714286,0.0
4.041666666666667,4.375
3.8333333333333335,4.375
4.095238095238095,3.125
4.005952380952381,4.375
3.7261904761904763,0.0
3.9345238095238093,4.375
3.8988095238095237,2.5
4.130952380952381,4.375
3.5892857142857144,0.0
3.988095238095238,3.125
3.9107142857142856,3.75
4.011904761904762,4.375
4.017857142857143,4.375
4.023809523809524,4.375
3.9107142857142856,3.75
3.8273809523809526,4.375
3.8035714285714284,4.375
3.488095238095238,1.25
3.9345238095238093,4.375
4.065476190476191,3.75
3.517857142857143,4.375
4.005952380952381,3.75
3.4761904761904763,4.375
3.869047619047619,5.0
3.875,4.375
3.7202380952380953,5.0
3.8511904761904763,5.0
3.8154761904761907,1.875
3.7261904761904763,4.375
3.6011904761904763,5.0
3.6845238095238093,0.0
4.142857142857143,5.0
3.6785714285714284,4.375
3.869047619047619,3.75
3.7142857142857144,3.75
3.6845238095238093,4.375
4.113095238095238,4.375
4.065476190476191,3.125
4.035714285714286,3.75
3.3154761904761907,3.75
3.738095238095238,3.75
3.875,4.375
3.2142857142857144,4.375
3.6488095238095237,4.375
3.6666666666666665,4.375
3.9702380952380953,4.375
4.095238095238095,4.375
3.8511904761904763,3.75
3.6964285714285716,3.75
3.7857142857142856,4.375
3.982142857142857,3.75
4.113095238095238,5.0
3.8333333333333335,5.0
3.3214285714285716,1.25
3.8333333333333335,3.75
3.7738095238095237,4.375
3.7916666666666665,3.125
3.5476190476190474,3.75
3.7976190476190474,4.375
3.8452380952380953,4.375
4.190476190476191,5.0
3.232142857142857,2.5
3.5238095238095237,4.375
3.5952380952380953,5.0
3.505952380952381,0.0
3.9464285714285716,4.375
3.6964285714285716,4.375
4.089285714285714,5.0
3.8452380952380953,3.75
3.6964285714285716,4.375
3.6726190476190474,4.375
3.2142857142857144,0.0
3.7261904761904763,4.375
4.065476190476191,5.0
3.869047619047619,3.75
3.767857142857143,3.75
3.886904761904762,4.375
3.869047619047619,3.125
